Week_Start_Date,Spend_USD
5/27/2018,0
6/3/2018,0
6/10/2018,0
6/17/2018,100
6/24/2018,100
7/1/2018,100
7/8/2018,100
7/15/2018,100
7/22/2018,100
7/29/2018,100
8/5/2018,100
8/12/2018,100
8/19/2018,100
8/26/2018,5600
9/30/2018,600
10/7/2018,5800
10/14/2018,4900
10/21/2018,2700
10/28/2018,269100
11/4/2018,70400
11/11/2018,1900
11/18/2018,700
11/25/2018,700
12/2/2018,500
12/9/2018,700
12/16/2018,2100
12/23/2018,2900
12/30/2018,3800
1/6/2019,527800
1/13/2019,10700
1/20/2019,5500
1/27/2019,3800
2/3/2019,13100
2/10/2019,16000
2/17/2019,11400
2/24/2019,11800
3/3/2019,25400
3/10/2019,15200
3/17/2019,7000
3/24/2019,15300
3/31/2019,10500
4/7/2019,7600
4/14/2019,18700
4/21/2019,18000
4/28/2019,34800
5/5/2019,11700
5/12/2019,16200
5/19/2019,12800
5/26/2019,13000
6/2/2019,5600
6/9/2019,9400
6/16/2019,115200
6/23/2019,469200
6/30/2019,50600
7/7/2019,50000
7/14/2019,53000
7/21/2019,41400
7/28/2019,92000
8/4/2019,73900
8/11/2019,82200
8/18/2019,39700
8/25/2019,43000
9/1/2019,29200
9/8/2019,36800
9/15/2019,37500
9/22/2019,256500
9/29/2019,652900
