Country,Country_Subdivision_Primary,Country_Subdivision_Secondary,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_HRK,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP
AT,,,930000,837900,65531750,1638875,6209700,21625000,6256000,275632500,3627400,3980550,8976750,738650
BE,,,438600,391850,30633500,766425,2907600,10093000,2926000,127222500,1684300,1865250,4204500,341300
BG,,,4600,4150,325000,8125,30800,107000,31000,1350000,17800,19725,44250,3650
CY,,,6900,6200,484000,12100,46000,160000,46000,2017500,26600,29475,66750,5400
CZ,,,53900,48200,3767000,94300,357800,1242000,360000,15667500,207300,229500,517500,42050
DE,,,763900,683400,53344250,1336675,5070100,17616000,5103000,222427500,2939400,3251475,7342500,597100
DK,,,639000,570650,44528500,1116175,4234200,14705000,4261500,185025000,2449100,2711850,6096000,500500
EE,,,22900,20450,1598500,39950,151600,526000,152500,6637500,87800,97275,219750,17800
ES,,,619200,553600,43231750,1082850,4110700,14258000,4133500,179077500,2377700,2634975,5886000,482300
FI,,,232900,207200,16149750,405300,1539200,5325000,1547000,66780000,889300,985875,2182500,179200
FR,,,11500,10300,808500,20100,76200,265000,77000,3345000,44300,48900,110250,9000
GB,,,52200,46950,3677750,91850,348200,1211000,350500,15412500,203200,223125,504000,41400
GR,,,1150500,1020950,79813250,1997150,7563600,26136000,7622500,330645000,4357900,4836600,10856250,906600
HR,,,36900,33000,2578000,64525,244800,851000,246500,10747500,141900,157050,354750,28900
HU,,,45900,41150,3220250,80475,305100,1062000,307000,13447500,177400,195600,441750,36350
IE,,,13600,12200,954250,23850,90500,314000,91000,3967500,52500,58050,130500,10700
IN,IN-AN,,5600,5050,394500,9875,37400,130000,37500,1627500,21700,24000,53250,4350
IN,IN-AP,,734000,653400,50741500,1277950,4854000,16798000,4877500,209460000,2805400,3107625,6813750,560950
IN,IN-AR,,5600,5050,395750,9900,37500,130000,38000,1627500,21700,24075,54000,4350
IN,IN-AS,,19900,17700,1387000,34625,131400,455000,132000,5670000,75900,84225,186750,15250
IN,IN-BR,,208600,186000,14578250,363775,1379700,4781000,1388500,60045000,798700,885000,1984500,160650
IN,IN-CH,,110300,98350,7706000,192400,729600,2528000,734500,31725000,422200,468075,1047750,84950
IN,IN-CT,,14800,13250,1037500,25900,98300,340000,99000,4260000,56800,63000,140250,11450
IN,IN-DD,,5800,5200,405750,10150,38500,134000,38500,1672500,22300,24675,54750,4500
IN,IN-DL,,315100,280900,21972250,549525,2084400,7215000,2097000,90487500,1204800,1336500,2978250,242250
IN,IN-DN,,5800,5200,406250,10150,38500,134000,39000,1672500,22300,24675,54750,4500
IN,IN-GA,,6500,5800,454250,11350,43100,149000,43500,1867500,24900,27600,61500,5000
IN,IN-GJ,,103100,91600,7174250,179125,680400,2351000,683500,29347500,392600,435750,960750,79050
IN,IN-HP,,43100,38400,3007000,75125,285000,987000,287000,12382500,164800,182775,408000,33150
IN,IN-HR,,125200,111650,8730250,218450,828500,2869000,833500,35992500,479000,531300,1185750,96250
IN,IN-JH,,22700,20250,1584000,39575,150200,520000,151000,6510000,86800,96300,213750,17450
IN,IN-JK,,15500,13800,1082000,27025,102600,355000,103000,4440000,59300,65700,146250,11900
